Moisture,Texture,Crop,Nitrogen,Potassium,Phosphorus,pH,EC_dS_m,Organic_Matter_%,Iron_ppm,Zinc_ppm,Manganese_ppm,Copper_ppm,Boron_ppm
52.01,Black,Tobacco,13,4,37,6.86,1.39,3.1,3.93,1.81,2.78,0.43,0.78
63.28,Black,Oil seeds,9,15,11,6.4,1.16,3.31,5.26,1.39,4.95,0.77,0.5
63.14,Loamy,Barley,26,2,18,7.23,1.03,3.24,4.39,1.36,1.73,0.35,0.44
32.13,Loamy,Oil seeds,9,10,30,6.6,1.86,2.97,3.82,0.67,1.78,1.18,0.43
42.31,Red,Pulses,27,2,18,7.46,0.6,2.34,3.56,0.8,4.71,1.17,0.21
40.94,Clayey,Ground Nuts,11,0,12,6.88,1.07,3.76,6.2,0.88,3.77,0.86,0.79
34.93,Black,Barley,40,0,0,6.01,0.95,2.68,3.66,1.23,2.64,0.91,0.32
46.13,Loamy,Maize,21,0,24,6.95,1.2,1.73,4.25,1.6,4.17,0.63,0.62
26.19,Clayey,Tobacco,7,7,29,6.35,1.13,1.96,3.9,1.19,3.08,1.16,0.21
21.7,Loamy,Cotton,3,9,30,6.97,1.23,3.0,2.84,0.69,1.57,0.62,0.7
27.05,Red,Paddy,9,11,34,5.92,0.62,3.6,3.24,1.16,3.78,0.44,0.5
31.14,Sandy,Cotton,40,0,1,6.1,1.22,1.66,3.26,0.74,2.35,0.32,0.7
37.06,Loamy,Paddy,7,4,43,7.25,0.79,1.41,5.27,1.63,1.9,0.41,0.27
64.49,Sandy,Millets,10,5,24,6.19,0.69,3.49,4.13,0.75,2.29,0.77,0.41
25.75,Clayey,Sugarcane,5,10,32,7.22,0.5,3.58,5.63,1.22,3.17,0.45,0.29
40.03,Loamy,Paddy,25,0,22,6.27,1.62,1.92,5.34,1.54,1.67,0.85,0.72
26.83,Sandy,Ground Nuts,38,1,1,6.89,1.08,2.18,3.27,0.84,4.59,0.58,0.29
47.18,Red,Millets,15,0,37,6.98,1.4,2.92,4.75,0.61,3.46,1.09,0.69
31.6,Black,Wheat,11,2,39,6.67,1.56,2.06,5.47,1.34,2.53,0.76,0.31
28.8,Clayey,Maize,11,8,27,6.32,1.49,3.48,5.03,0.58,3.9,0.82,0.95
50.69,Clayey,Oil seeds,13,0,4,6.16,1.15,1.48,4.9,1.38,4.31,0.76,0.53
24.98,Sandy,Paddy,20,3,27,5.86,1.02,1.3,5.46,1.63,3.65,1.09,0.3
64.77,Loamy,Cotton,6,10,11,6.32,1.0,1.74,2.73,0.99,2.21,0.26,0.23
32.7,Sandy,Oil seeds,18,9,14,6.91,1.42,1.94,5.43,1.23,1.89,0.27,0.46
39.79,Sandy,Ground Nuts,36,2,0,7.4,1.19,1.49,3.59,1.89,4.51,0.9,0.91
44.77,Red,Wheat,18,0,10,7.28,1.76,1.37,4.79,1.21,2.32,0.97,0.32
56.74,Clayey,Wheat,7,0,7,7.1,1.8,3.16,3.47,1.99,1.57,0.63,0.83
55.35,Sandy,Paddy,17,0,20,7.14,0.67,1.63,5.86,0.74,3.75,0.55,0.53
56.48,Loamy,Maize,8,7,25,6.93,0.62,3.58,4.42,1.56,2.04,0.48,0.84
68.8,Red,Tobacco,10,3,10,6.24,1.41,2.16,5.07,1.48,4.97,0.43,0.9
61.19,Black,Barley,5,4,14,7.34,0.88,2.94,5.68,1.81,4.54,1.11,1.0
44.84,Black,Sugarcane,7,22,14,6.94,0.43,1.79,6.08,0.64,3.63,0.5,0.25
69.07,Sandy,Wheat,38,0,0,6.75,1.82,1.82,5.43,0.92,4.42,0.85,0.84
24.2,Red,Tobacco,20,0,19,5.99,0.76,2.69,3.1,0.7,3.15,0.99,0.26
70.0,Loamy,Wheat,14,0,38,6.56,1.89,2.66,5.92,1.9,4.26,0.22,0.45
37.58,Clayey,Sugarcane,25,0,20,6.58,1.55,3.2,4.97,1.14,3.76,0.23,0.72
51.04,Red,Cotton,11,16,15,7.27,1.62,3.17,4.94,1.87,1.6,0.53,0.56
33.59,Sandy,Millets,6,0,34,6.73,0.72,2.94,6.19,0.94,4.82,0.9,0.65
38.4,Loamy,Paddy,36,0,3,6.45,0.77,2.37,3.5,0.69,4.51,0.46,0.97
28.01,Black,Pulses,16,0,13,7.46,1.23,3.52,3.46,0.94,4.84,0.2,0.85
52.5,Clayey,Paddy,16,3,10,5.99,0.68,2.82,4.55,1.4,4.06,0.49,0.49
36.56,Loamy,Oil seeds,14,0,40,6.52,0.89,3.77,5.5,1.77,2.94,0.29,0.68
70.0,Red,Wheat,28,0,20,5.87,0.91,3.33,4.29,1.08,2.22,0.42,0.24
29.16,Red,Maize,6,16,21,7.06,0.66,1.32,5.04,1.87,2.13,0.53,0.56
41.0,Loamy,Barley,8,0,6,7.36,0.73,2.03,4.31,0.87,2.01,0.33,0.69
50.94,Black,Paddy,36,0,2,6.28,1.66,2.69,4.94,1.54,2.27,0.91,0.77
44.02,Red,Wheat,11,1,38,7.26,0.67,3.08,5.79,1.6,3.43,0.46,0.92
27.88,Red,Maize,11,5,32,6.3,0.45,2.63,3.22,0.91,3.89,0.86,0.43
46.8,Clayey,Pulses,9,10,29,7.35,1.41,3.24,5.28,0.54,2.6,0.8,0.92
43.37,Clayey,Maize,35,0,2,7.08,1.96,1.93,5.65,1.05,3.42,1.1,0.73
36.06,Black,Millets,11,10,13,7.17,0.93,1.68,4.29,0.57,2.69,0.29,0.26
43.42,Sandy,Sugarcane,20,4,26,5.83,0.59,1.34,3.79,1.85,3.94,0.41,0.5
34.79,Clayey,Ground Nuts,6,0,9,7.44,1.31,2.69,2.55,1.93,4.96,1.07,0.58
27.49,Loamy,Ground Nuts,6,4,34,7.04,1.85,2.99,5.69,1.6,3.91,1.02,0.48
40.74,Sandy,Pulses,13,4,40,6.32,1.65,2.05,3.81,1.59,1.71,0.39,0.29
43.03,Sandy,Sugarcane,36,0,0,7.21,1.4,2.8,3.93,0.86,3.17,0.31,0.64
47.86,Black,Sugarcane,6,7,25,6.28,0.9,1.34,3.84,0.61,4.2,1.06,0.31
45.92,Loamy,Barley,25,3,21,7.28,1.27,1.46,4.49,1.7,3.4,0.38,0.93
44.67,Sandy,Barley,3,0,14,5.99,0.55,3.02,5.31,1.34,4.83,1.07,0.89
55.08,Black,Oil seeds,13,0,39,7.0,1.49,2.16,5.59,1.52,1.69,1.16,0.58
51.42,Sandy,Wheat,8,3,29,6.72,1.56,2.95,4.07,1.67,2.52,0.42,0.25
52.64,Black,Paddy,7,21,24,5.96,1.94,3.36,5.15,1.11,2.27,1.04,0.64
37.45,Sandy,Wheat,21,0,19,6.21,0.82,3.42,5.38,0.72,4.19,0.62,0.67
33.07,Red,Pulses,35,0,0,5.82,0.43,1.65,3.69,1.69,3.33,0.99,0.91
41.52,Loamy,Sugarcane,21,0,23,6.6,1.27,2.46,2.89,1.18,1.98,0.61,0.25
32.49,Red,Millets,17,0,21,6.31,1.53,3.11,6.08,1.74,2.5,0.27,0.75
48.22,Sandy,Sugarcane,16,19,9,6.82,1.66,3.21,5.21,1.16,3.33,0.91,0.65
49.42,Red,Cotton,25,0,21,6.31,0.71,3.24,5.09,0.83,4.99,0.35,0.34
34.24,Sandy,Wheat,8,7,25,6.31,0.82,1.79,2.74,0.76,2.78,1.13,0.3
54.29,Clayey,Pulses,26,0,16,7.06,1.22,1.7,5.77,1.62,2.05,0.62,0.76
21.91,Red,Barley,6,10,31,5.88,0.93,2.73,4.76,1.36,3.24,0.28,0.47
31.47,Black,Maize,6,15,23,7.33,1.78,3.13,5.89,1.11,2.59,0.43,1.0
29.09,Loamy,Tobacco,40,2,0,7.25,1.16,2.03,6.4,1.24,3.48,1.06,0.92
55.77,Sandy,Millets,4,0,12,6.94,1.68,1.47,6.33,1.32,3.13,0.52,0.65
51.86,Black,Paddy,35,4,0,6.81,1.33,3.06,5.92,0.86,3.91,1.06,0.71
50.84,Loamy,Wheat,8,18,8,7.32,1.64,1.98,2.54,1.07,4.7,0.37,0.33
35.68,Sandy,Wheat,22,0,13,6.12,0.93,1.63,6.04,0.94,2.2,0.67,0.92
36.01,Sandy,Wheat,8,11,18,5.93,1.73,1.58,2.8,1.08,4.37,1.08,0.57
26.6,Loamy,Maize,39,0,2,6.21,0.84,2.02,5.9,1.25,4.82,0.25,0.62
49.6,Red,Sugarcane,10,16,23,7.15,1.27,2.74,3.62,0.76,2.81,0.5,0.9
20.0,Red,Wheat,7,9,31,5.86,0.74,2.13,4.94,1.09,1.9,1.11,0.21
31.17,Clayey,Millets,9,4,17,6.79,1.16,1.25,2.65,1.08,4.38,0.8,0.6
40.88,Clayey,Pulses,16,12,14,7.49,0.91,1.45,5.58,0.93,3.95,0.92,0.7
43.39,Loamy,Pulses,17,3,37,7.25,0.83,1.96,2.95,2.0,2.24,1.04,0.33
41.6,Loamy,Tobacco,11,18,15,6.69,1.95,2.92,4.14,0.61,3.06,0.72,0.25
41.29,Loamy,Oil seeds,28,0,18,5.91,0.66,1.46,5.77,1.46,3.52,1.05,0.63
62.11,Sandy,Pulses,37,0,0,7.21,1.66,2.66,5.28,0.76,2.09,0.84,0.64
31.38,Loamy,Paddy,41,4,0,6.82,1.97,1.51,2.52,1.76,4.0,0.89,0.46
32.61,Sandy,Maize,38,4,0,6.0,0.43,1.75,4.11,1.87,3.91,0.35,0.91
61.25,Clayey,Maize,15,0,13,5.96,1.52,1.65,2.67,1.1,4.6,1.14,0.44
31.19,Sandy,Cotton,10,10,30,7.35,0.8,1.37,5.19,1.74,3.49,1.0,0.61
41.37,Clayey,Barley,38,2,0,6.94,0.46,2.95,6.38,0.87,3.51,0.45,0.35
20.86,Clayey,Ground Nuts,37,2,3,7.21,1.04,2.4,5.12,0.71,3.67,0.78,0.21
41.79,Loamy,Cotton,40,3,4,7.29,1.9,3.36,3.4,0.97,2.46,0.58,0.54
60.62,Sandy,Maize,9,9,33,6.77,0.42,1.46,3.92,1.01,4.16,0.86,0.62
32.76,Clayey,Sugarcane,26,0,26,6.68,1.34,1.58,6.41,1.1,3.82,1.19,0.81
38.27,Clayey,Maize,23,0,22,6.53,1.2,2.0,3.4,1.06,4.44,0.25,0.56
42.41,Black,Paddy,24,0,19,6.34,1.8,3.19,4.75,1.12,4.19,1.15,0.42
65.95,Clayey,Pulses,8,0,5,6.54,0.53,1.99,4.1,1.57,3.74,0.27,0.68
30.85,Red,Wheat,7,19,11,7.12,1.49,2.26,5.57,0.87,2.06,0.66,0.5
54.5,Clayey,Sugarcane,44,0,0,6.82,1.49,1.98,5.97,0.53,4.72,0.68,0.39
41.46,Loamy,Cotton,7,19,17,7.32,1.47,1.41,3.86,1.23,2.79,0.47,0.93
66.97,Sandy,Cotton,13,8,28,6.55,1.91,3.64,5.14,1.17,4.88,0.77,0.63
57.26,Sandy,Paddy,11,0,42,6.83,1.72,2.63,4.7,0.59,2.91,1.03,0.36
61.13,Clayey,Paddy,40,0,3,6.87,0.47,3.25,3.61,0.7,2.01,0.49,0.74
52.22,Black,Cotton,17,2,37,6.81,1.15,2.91,3.59,1.26,4.6,0.27,0.84
44.13,Black,Paddy,14,0,44,6.99,1.04,2.54,4.65,0.85,4.28,0.83,0.81
49.11,Red,Sugarcane,2,6,33,6.2,0.9,1.43,3.12,1.82,4.25,0.95,0.68
36.07,Black,Maize,11,0,43,6.67,1.12,2.87,5.74,0.76,1.81,1.15,0.62
60.46,Red,Millets,12,4,38,5.98,1.01,1.6,2.78,0.53,4.58,0.36,0.82
37.99,Black,Maize,46,3,4,6.45,1.09,2.28,2.88,1.17,3.59,1.1,0.77
58.82,Sandy,Oil seeds,7,9,28,6.63,1.97,2.84,3.87,1.98,3.15,0.68,0.66
47.35,Loamy,Ground Nuts,43,2,0,6.91,0.54,3.23,2.97,1.45,4.7,0.44,0.73
21.16,Sandy,Ground Nuts,7,21,18,7.42,1.88,2.98,4.4,1.03,3.83,1.16,0.33
64.07,Red,Maize,12,0,12,6.82,1.17,2.95,4.1,0.53,1.97,0.44,0.22
41.79,Loamy,Sugarcane,13,9,22,7.06,1.4,1.59,5.39,1.23,3.32,0.93,0.94
43.02,Loamy,Tobacco,40,0,0,6.66,1.73,2.1,6.31,0.81,3.73,0.98,0.95
33.52,Red,Barley,26,0,17,6.88,0.98,1.31,5.51,1.47,4.64,0.63,0.83
48.62,Clayey,Wheat,13,9,12,5.92,1.09,3.07,3.22,1.37,2.48,0.89,0.5
44.64,Clayey,Cotton,10,14,17,6.23,1.06,3.68,6.24,0.9,4.28,0.77,0.32
45.95,Sandy,Oil seeds,42,2,0,6.42,1.0,1.89,4.07,0.6,4.3,0.39,0.49
27.1,Clayey,Barley,36,4,0,6.6,1.88,1.43,4.4,1.63,1.95,0.96,0.78
38.28,Clayey,Pulses,6,17,11,5.88,1.73,2.44,4.19,1.38,1.56,1.13,0.47
32.65,Black,Tobacco,21,1,21,6.04,0.57,3.43,3.62,1.76,3.53,0.69,0.84
32.25,Clayey,Paddy,13,0,39,6.27,0.57,2.64,6.08,0.89,4.26,1.19,0.74
66.13,Loamy,Oil seeds,8,2,10,7.45,1.08,1.32,3.83,1.48,3.44,0.63,0.7
41.35,Red,Paddy,42,0,0,6.36,0.56,3.73,4.81,0.68,4.35,0.68,0.94
55.29,Black,Sugarcane,37,0,1,6.62,1.39,3.35,3.46,0.94,3.68,0.87,0.91
59.35,Red,Maize,36,0,0,6.13,0.63,1.54,5.69,1.48,3.79,0.39,0.77
27.73,Black,Maize,10,0,38,6.84,1.24,3.6,5.6,1.74,1.6,1.1,0.36
33.2,Black,Sugarcane,21,0,26,6.28,0.41,2.37,3.69,0.98,1.81,1.0,0.95
30.24,Red,Ground Nuts,36,0,4,6.15,0.91,2.17,5.23,1.7,4.04,1.07,0.38
58.77,Black,Oil seeds,10,1,12,6.68,1.48,2.4,5.32,1.52,4.17,0.81,0.5
53.07,Black,Millets,42,4,0,5.81,1.17,3.37,4.75,1.02,3.4,1.08,0.86
41.76,Sandy,Pulses,16,0,39,5.81,1.97,2.91,4.9,1.81,3.57,0.88,0.37
52.53,Clayey,Millets,15,3,41,6.17,1.8,1.35,4.8,1.26,3.65,0.71,0.71
34.92,Red,Pulses,26,3,27,5.86,0.97,3.69,2.83,1.47,1.87,1.13,0.57
42.73,Red,Pulses,38,0,4,5.98,0.47,1.58,5.18,1.24,3.84,0.64,0.7
27.4,Black,Cotton,10,0,40,6.38,1.75,3.14,4.38,1.18,3.17,0.7,0.97
30.61,Loamy,Ground Nuts,25,0,23,7.16,1.86,2.85,4.25,1.77,3.61,0.37,0.85
46.5,Red,Millets,9,22,11,6.77,1.71,1.69,5.94,0.94,3.47,1.15,0.44
24.11,Clayey,Tobacco,41,0,0,6.67,0.6,1.64,2.59,0.55,4.17,0.42,0.25
26.54,Clayey,Wheat,14,0,3,6.3,2.0,3.46,3.51,1.82,2.61,0.4,0.97
57.99,Sandy,Sugarcane,4,10,32,7.38,0.81,2.29,2.99,1.74,2.81,0.3,0.67
20.71,Black,Tobacco,8,5,26,6.47,1.56,2.9,2.64,1.05,2.87,0.65,0.34
25.82,Sandy,Oil seeds,6,6,34,5.95,1.85,2.51,3.6,0.78,4.17,0.47,0.7
40.83,Black,Cotton,17,2,39,6.85,0.78,3.09,6.45,1.51,3.01,0.94,0.23
65.34,Loamy,Paddy,34,1,2,5.99,1.85,2.45,3.58,0.62,2.12,0.51,0.35
56.5,Loamy,Sugarcane,21,0,23,6.39,0.9,1.95,5.15,1.14,4.94,0.92,0.71
61.53,Loamy,Pulses,8,0,39,6.66,1.96,2.14,2.97,0.63,3.23,0.4,0.52
65.28,Black,Barley,5,9,27,7.29,0.85,3.43,4.91,1.4,1.88,0.43,0.46
38.39,Red,Ground Nuts,25,0,18,6.64,1.93,2.42,6.44,0.54,3.85,1.01,0.72
21.85,Clayey,Millets,7,15,18,6.99,0.49,1.75,3.67,1.44,4.09,0.57,0.89
28.98,Red,Barley,3,6,26,7.49,1.53,3.63,5.89,1.51,3.25,0.31,0.74
23.95,Black,Tobacco,37,0,0,6.02,1.25,3.27,6.49,1.23,3.76,1.16,0.57
28.77,Loamy,Ground Nuts,36,2,4,6.27,1.16,1.34,4.85,0.76,2.1,0.38,0.73
70.0,Loamy,Ground Nuts,12,2,38,6.47,0.76,3.8,3.74,0.65,2.79,0.35,0.76
41.53,Clayey,Sugarcane,11,2,10,6.52,1.53,3.01,5.19,0.97,2.07,0.56,0.82
43.81,Loamy,Barley,35,3,0,6.5,0.71,1.62,5.88,1.2,2.86,0.3,0.45
61.08,Red,Pulses,12,1,35,7.34,1.28,1.82,3.19,1.46,3.47,0.36,0.29
47.28,Loamy,Barley,7,14,14,7.01,0.81,3.0,4.31,0.5,3.05,1.05,0.75
34.26,Loamy,Pulses,18,0,15,6.83,1.93,3.23,3.78,1.57,3.58,0.37,0.3
24.13,Red,Cotton,41,4,0,6.33,0.45,1.82,3.63,1.57,3.26,0.31,0.57
49.48,Red,Pulses,24,0,22,7.2,0.72,1.87,5.94,1.17,2.61,1.08,0.38
30.56,Sandy,Ground Nuts,25,0,24,7.42,0.79,2.0,4.19,1.02,2.0,0.64,0.47
30.93,Loamy,Cotton,8,9,25,7.2,1.06,2.75,3.86,1.76,2.38,0.36,0.58
56.61,Loamy,Tobacco,12,0,7,5.8,0.77,1.65,4.91,1.68,2.2,0.78,0.92
47.76,Clayey,Wheat,20,0,16,6.88,1.19,1.47,3.38,1.97,3.98,0.24,0.74
51.08,Clayey,Oil seeds,11,15,10,5.89,1.8,2.97,3.42,1.06,4.37,0.63,0.34
40.95,Red,Ground Nuts,40,0,4,6.24,1.54,3.23,4.58,1.86,4.02,0.79,0.9
36.13,Sandy,Millets,25,2,20,5.9,1.33,2.5,4.14,0.63,3.75,1.16,0.6
33.86,Black,Pulses,6,16,17,6.83,0.54,2.15,3.68,1.12,2.58,0.53,0.36
23.1,Black,Oil seeds,8,0,32,6.97,1.51,2.32,2.72,1.2,3.99,0.97,0.62
58.73,Sandy,Oil seeds,39,0,0,5.99,0.67,2.21,4.58,1.16,3.62,0.33,0.35
30.24,Sandy,Cotton,13,1,14,6.45,1.66,3.7,5.77,1.44,1.66,0.63,0.49
28.45,Red,Maize,8,0,6,6.58,0.8,3.2,5.91,0.76,4.68,0.42,0.84
56.93,Clayey,Pulses,12,3,31,6.43,1.07,1.74,3.44,1.8,1.78,0.69,0.73
38.16,Loamy,Pulses,12,4,16,6.01,0.96,2.2,4.9,1.33,3.26,0.62,0.58
34.53,Black,Barley,40,0,0,6.51,1.77,2.61,5.92,1.86,3.3,1.18,0.38
25.82,Red,Tobacco,9,11,17,7.08,0.6,2.79,4.13,0.5,4.43,1.12,0.43
49.63,Clayey,Ground Nuts,9,0,12,5.92,1.31,2.42,6.23,1.44,4.7,0.78,0.98
45.41,Clayey,Cotton,44,0,0,5.94,0.63,3.31,6.11,1.12,4.79,0.38,0.47
33.96,Loamy,Millets,24,0,19,6.4,1.53,3.2,3.33,1.26,3.49,0.76,0.69
24.12,Black,Paddy,8,0,14,7.4,1.85,2.51,3.54,1.62,3.88,0.99,0.6
55.26,Red,Cotton,23,4,18,6.94,1.1,3.42,3.22,0.84,1.81,0.24,0.22
34.13,Black,Cotton,10,0,32,6.95,1.18,3.15,3.28,0.81,3.21,0.63,0.96
33.0,Black,Ground Nuts,7,10,25,6.42,1.88,3.22,6.13,1.55,4.64,0.24,0.27
55.66,Black,Millets,1,10,28,6.81,1.23,3.69,6.22,1.28,3.09,0.44,0.73
39.44,Clayey,Tobacco,10,0,12,5.82,1.18,1.89,2.71,0.85,1.74,0.29,0.85
29.95,Red,Ground Nuts,16,0,37,6.88,1.33,1.9,4.87,1.23,2.2,1.16,0.8
32.93,Clayey,Sugarcane,15,0,42,7.35,1.5,3.51,4.76,1.19,3.0,0.37,0.85
45.19,Red,Sugarcane,38,1,2,6.84,0.57,3.21,4.06,1.54,2.33,0.35,0.79
36.72,Loamy,Millets,37,4,0,7.29,1.71,3.61,5.03,0.5,2.87,1.17,0.56
56.71,Sandy,Maize,36,3,0,7.03,1.1,1.36,6.29,1.38,2.67,0.72,0.92
41.45,Black,Wheat,12,0,10,6.0,0.52,2.83,3.18,1.41,2.62,0.96,0.93
46.9,Clayey,Wheat,38,2,0,7.33,1.66,1.58,2.98,1.62,1.82,0.53,0.55
20.0,Clayey,Millets,37,0,4,5.91,1.0,2.51,2.63,1.83,4.59,0.73,0.59
45.87,Black,Millets,4,0,18,6.71,0.56,1.6,3.96,1.16,3.92,0.21,0.59
58.11,Red,Cotton,14,3,6,6.04,1.41,1.53,3.85,1.01,3.68,0.61,0.42
41.55,Loamy,Paddy,10,3,29,5.82,1.81,1.23,4.22,0.65,3.62,0.76,0.29
41.9,Black,Pulses,17,2,32,6.52,1.82,2.84,4.51,1.01,2.89,0.71,0.41
59.45,Black,Sugarcane,14,14,13,6.3,1.93,2.13,5.53,0.6,4.38,0.61,0.88
37.57,Black,Pulses,24,0,21,6.63,1.79,1.47,4.07,1.7,4.76,0.99,0.63
55.15,Black,Pulses,3,9,37,6.78,0.4,2.04,3.82,1.71,1.52,0.7,0.88
61.21,Sandy,Cotton,16,0,8,5.87,1.01,1.64,5.81,1.13,1.78,0.84,0.8
37.97,Black,Sugarcane,21,0,23,6.01,1.71,3.65,5.9,0.89,3.86,0.38,0.48
62.98,Loamy,Pulses,15,4,30,6.75,0.99,2.03,3.43,0.68,2.33,1.06,0.35
39.42,Sandy,Pulses,38,2,1,6.38,1.36,2.07,3.76,1.78,4.69,0.56,0.65
35.26,Black,Pulses,28,4,20,7.04,1.37,3.38,5.8,1.82,3.84,0.68,0.95
39.67,Clayey,Maize,13,0,36,6.91,0.98,2.88,2.82,0.9,2.79,0.55,0.87
38.28,Loamy,Oil seeds,35,3,1,7.24,1.85,3.05,3.8,1.43,2.95,1.09,0.81
43.15,Red,Barley,12,12,28,6.98,1.21,2.85,4.29,0.89,3.92,1.1,0.81
20.0,Sandy,Ground Nuts,11,13,27,6.53,1.14,3.66,3.25,0.84,1.99,0.42,0.62
34.78,Black,Maize,3,15,24,6.94,2.0,1.74,3.22,0.53,4.59,0.95,0.34
48.25,Sandy,Paddy,7,8,24,6.27,1.19,3.77,4.2,1.37,1.52,0.3,0.43
24.65,Black,Pulses,38,0,3,6.32,0.69,3.36,5.52,0.72,4.93,0.23,0.66
31.79,Red,Millets,21,3,18,7.14,1.22,2.73,5.86,0.52,2.09,1.04,0.45
57.23,Loamy,Cotton,24,0,22,6.56,1.7,2.92,6.42,0.66,4.1,0.33,0.83
43.81,Clayey,Ground Nuts,14,19,23,7.16,1.64,2.89,2.8,0.97,1.64,0.35,0.5
57.3,Black,Ground Nuts,13,1,39,7.2,1.66,1.35,3.37,1.5,3.01,0.81,0.29
31.2,Loamy,Maize,14,0,13,7.26,1.53,1.77,5.53,0.8,3.71,1.02,0.83
34.64,Loamy,Millets,14,0,36,7.36,0.81,3.7,4.66,1.83,1.75,0.39,0.76
22.4,Sandy,Millets,18,0,43,6.53,1.78,2.59,3.81,0.93,3.05,0.31,0.4
37.79,Clayey,Barley,5,1,16,6.34,1.83,2.18,3.32,1.0,2.56,0.28,0.98
37.68,Loamy,Tobacco,37,0,1,6.79,0.71,3.18,3.62,0.83,3.24,0.22,0.52
34.42,Black,Ground Nuts,8,0,33,6.43,0.61,2.56,4.22,0.88,3.27,0.32,0.74
64.42,Sandy,Barley,8,1,11,6.82,1.96,1.23,3.21,0.61,4.25,1.14,0.93
45.98,Sandy,Millets,38,0,0,7.0,1.79,3.11,6.36,0.94,1.93,0.3,0.32
70.0,Loamy,Tobacco,15,0,37,6.97,1.83,3.1,2.93,1.79,1.79,0.8,0.9
36.37,Sandy,Tobacco,37,1,3,6.44,1.82,1.63,6.44,1.53,2.91,1.12,0.76
69.01,Red,Sugarcane,12,5,35,6.08,1.27,3.69,5.87,1.81,4.61,0.83,0.33
62.38,Clayey,Maize,7,16,9,6.53,1.43,1.78,4.19,0.66,4.49,0.23,0.73
39.77,Red,Sugarcane,41,0,3,6.04,1.27,2.39,5.46,1.18,3.46,0.8,0.9
51.2,Black,Wheat,13,3,11,7.31,0.48,1.5,5.19,0.84,4.61,1.1,0.84
38.22,Red,Pulses,20,2,18,6.39,1.59,2.77,3.35,1.58,4.32,0.52,0.81
37.16,Black,Millets,36,0,0,6.06,1.21,2.18,3.86,1.96,2.47,0.51,0.33
33.9,Loamy,Wheat,43,0,0,5.84,1.44,2.12,4.55,1.72,2.1,0.45,0.35
61.48,Red,Cotton,6,11,29,6.9,1.2,3.35,5.05,0.55,2.55,0.71,0.64
70.0,Red,Sugarcane,13,12,24,6.88,1.19,1.22,4.67,0.97,2.29,0.44,0.66
39.93,Black,Barley,34,0,3,6.38,0.67,3.27,4.39,0.54,3.68,0.92,0.95
20.33,Sandy,Oil seeds,41,4,2,5.92,0.85,2.69,4.27,0.56,3.55,0.84,0.57
35.68,Red,Millets,32,0,0,6.5,0.65,3.76,4.49,0.62,3.59,0.6,0.44
28.64,Black,Millets,8,6,14,6.33,0.71,2.73,4.24,0.91,2.16,0.92,0.35
25.39,Black,Maize,9,0,36,6.95,1.96,1.34,4.67,0.96,4.27,0.3,0.24
37.15,Red,Millets,12,0,37,6.83,0.64,1.33,6.05,1.1,3.02,0.95,0.25
47.29,Red,Oil seeds,24,0,18,6.42,0.83,3.5,5.03,1.11,3.15,0.8,0.66
57.26,Black,Pulses,13,1,39,6.17,1.34,3.39,5.39,1.66,4.99,0.83,0.34
44.4,Clayey,Wheat,36,3,0,7.48,1.38,2.1,4.89,0.71,2.49,0.26,0.88
29.59,Red,Sugarcane,40,2,3,6.57,0.65,2.81,5.07,0.74,2.88,0.82,0.68
27.55,Red,Millets,17,0,39,6.97,1.67,2.47,4.81,1.44,3.87,0.69,0.89
45.72,Red,Cotton,35,1,0,6.04,1.66,3.71,2.61,1.36,4.58,0.69,0.54
40.45,Clayey,Barley,10,13,22,6.63,0.78,3.67,6.5,0.73,1.94,0.52,0.68
57.55,Red,Cotton,9,13,29,5.85,0.86,3.76,2.63,1.78,4.07,0.21,0.62
45.96,Black,Paddy,17,4,10,6.66,1.9,3.45,4.08,0.99,4.71,0.62,0.99
55.3,Sandy,Cotton,0,15,10,7.44,1.72,3.56,2.92,1.05,2.98,0.6,0.84
41.19,Red,Ground Nuts,22,4,22,6.45,1.52,1.76,2.89,1.13,2.5,0.62,0.68
41.51,Sandy,Barley,1,13,13,5.87,0.53,3.36,5.67,0.98,3.87,0.81,0.69
40.79,Black,Tobacco,5,11,17,5.85,1.07,3.04,4.2,1.34,2.36,0.5,0.4
35.97,Black,Maize,45,0,0,6.46,1.29,3.7,5.7,1.08,2.85,0.47,0.79
44.03,Clayey,Tobacco,22,0,18,6.07,0.7,2.69,3.59,0.89,4.64,0.7,0.99
42.28,Loamy,Pulses,14,1,18,5.84,1.12,1.42,3.53,1.86,3.57,0.79,0.3
38.77,Loamy,Ground Nuts,23,1,13,7.09,1.36,2.75,3.5,0.96,1.83,0.77,0.71
36.55,Loamy,Sugarcane,32,1,0,6.58,0.92,2.99,4.96,1.55,2.65,1.08,0.61
43.16,Sandy,Ground Nuts,44,1,0,6.29,1.65,1.77,5.76,1.02,3.7,0.97,0.88
37.77,Black,Maize,19,4,21,7.33,1.74,2.22,4.31,1.15,3.19,0.25,0.2
35.13,Clayey,Wheat,16,3,42,6.0,0.92,2.76,4.02,0.85,3.81,0.76,0.31
24.75,Loamy,Maize,11,13,16,7.43,1.74,2.17,6.39,1.63,4.17,0.62,0.23
39.36,Black,Wheat,22,1,20,6.33,0.57,2.17,2.97,1.61,3.18,0.56,0.33
68.32,Black,Pulses,6,0,7,7.31,1.74,1.55,4.45,0.53,4.95,1.16,0.77
